country,admin1,pcode,idp,ne_lat,ne_lon,nearest_waypoint_km
Burkina Faso,Sahel,BF56,1600,NA,NA,NA
Burkina Faso,Est,BF52,288,NA,NA,NA
Cameroon,Extrême-Nord,CMR004,460473,11.064702379219222,14.511672684616304,132.92790402453164
Chad,Lac,TD07,214413,13.672751560779096,14.355433196735575,187.09785839553857
Ethiopia,Oromia,ET04,315409,NA,NA,NA
Ethiopia,South Ethiopia People,ET08,83027,NA,NA,NA
Ethiopia,Afar,ET02,56194,12.031847850147292,40.75576686583701,264.70666802338707
Iraq,Erbil,IRQ-G11,59582,NA,NA,NA
Iraq,Al-Anbar,IRQ-G01,23394,32.968043688443544,41.62196664780157,258.38668131660444
Iraq,Al-Qadissiya,IRQ-G05,18024,NA,NA,NA
Lebanon,El Nabatieh,LB4,26029,NA,NA,NA
Lebanon,South,LB6,18761,NA,NA,NA
Lebanon,Mount Lebanon,LB3,146,33.895376613111196,35.69465435215211,17.80112692850359
Libya,East,LY01,6496,NA,NA,NA
Libya,West,LY02,1723,NA,NA,NA
Libya,South,LY03,660,NA,NA,NA
Mali,Mopti,MLI05,121332,14.70345063923306,-3.5258970542925114,76.07343429993081
Mali,Gao,MLI07,38842,16.767387406559106,1.3618236036085702,159.66175775328972
Mali,Menaka,MLI10,38804,NA,NA,NA
Niger,Diffa,NER002,169004,15.866448271407766,13.201089302972722,346.1241775211636
Niger,Tillabéri,NER006,122283,14.181549645820198,2.1821835379426027,74.892715091657
Niger,Tahoua,NER005,924,15.758359765398048,5.232756937238623,96.77001874526233
Nigeria,Zamfara,NGA037,279224,12.09129522225271,6.258553370671517,328.9412779640477
Nigeria,Yobe,NGA036,157243,12.303170078666398,11.43172237573643,313.03494376444587
Nigeria,Kaduna,NGA019,108342,10.357495537396332,7.699741547460821,145.58338007745883
Somalia,Bay,SOM24,59364,2.6529685741765276,43.56642878681865,205.96089847142085
Somalia,Bakool,SOM25,34255,4.208890389136727,43.94244377014536,143.70639254917364
Somalia,Gedo,SOM26,20754,2.897995951138219,41.968117405347215,366.7093057675353
Sudan,Gedaref,SD12,41082,NA,NA,NA
Sudan,North Darfur,SD02,27050,16.3501537191798,25.709347696755955,399.0388962228935
Sudan,Northern,SD17,20973,19.591061043611468,29.347198682339744,141.53176014562007
Ukraine,Incomplete Sample Coverage Areas,Incomplete,341000,NA,NA,NA
Ukraine,Unknown,Unknown,17000,NA,NA,NA
Ukraine,Dnipropetrovska,UA12,602,NA,NA,NA
Yemen,Hajjah,YE17,373812,16.112327116196674,43.3116790441264,125.2228310177281
Yemen,Amran,YE29,249804,16.154724576331574,43.98298825109382,90.11661015724718
Yemen,Amanat Al Asimah,YE13,243078,15.46291489953021,44.238209798147615,11.564436114442955
